Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
46,6,UIUC,6,UIUC-6,a,2.5,std,24.75,0.0477,0.0358,172,1440,1,0.99,7,54.04
47,6,UIUC,6,UIUC-6,b,2.5,std,24.75,0.0755,0.0567,272,1440,1,0.99,7,54.04
48,6,UIUC,6,UIUC-6,c,2.5,std,24.75,0.075,0.0563,270,1440,1,0.99,7,54.04
49,6,UIUC,6,UIUC-6,a,1.51,15mg,14.949,0.0565,0.0423,336,2384,1,0.99,7,54.04
50,6,UIUC,6,UIUC-6,b,1.51,15mg,14.949,0.0456,0.0342,272,2384,1,0.99,7,54.04
51,6,UIUC,6,UIUC-6,c,1.51,15mg,14.949,0.0528,0.0396,315,2384,1,0.99,7,54.04
52,6,UIUC,6,UIUC-6,a,2.52,25mg,24.948,0.0461,0.0346,165,1429,1,0.99,7,54.04
53,6,UIUC,6,UIUC-6,b,2.52,25mg,24.948,0.0838,0.0628,299,1429,1,0.99,7,54.04
54,6,UIUC,6,UIUC-6,c,2.52,25mg,24.948,0.0879,0.0659,314,1429,1,0.99,7,54.04
55,7,UIUC,7,UIUC-7,a,2.5,std,207.25,0.3297,0.2473,1187,1440,1,8.29,7.7,23.58
56,7,UIUC,7,UIUC-7,b,2.5,std,207.25,0.3277,0.2457,1180,1440,1,8.29,7.7,23.58
57,7,UIUC,7,UIUC-7,c,2.5,std,207.25,0.3313,0.2485,1193,1440,1,8.29,7.7,23.58
58,7,UIUC,7,UIUC-7,a,0.18,15mg,14.922,0.0441,0.0331,2204,20000,1,8.29,7.7,23.58
59,7,UIUC,7,UIUC-7,b,0.18,15mg,14.922,0.0436,0.0327,2178,20000,1,8.29,7.7,23.58
60,7,UIUC,7,UIUC-7,c,0.18,15mg,14.922,0.0534,0.04,2668,20000,1,8.29,7.7,23.58
61,7,UIUC,7,UIUC-7,a,0.3,25mg,24.87,0.0709,0.0532,2127,12000,1,8.29,7.7,23.58
62,7,UIUC,7,UIUC-7,b,0.3,25mg,24.87,0.0657,0.0493,1972,12000,1,8.29,7.7,23.58
63,7,UIUC,7,UIUC-7,c,0.3,25mg,24.87,0.058,0.0435,1740,12000,1,8.29,7.7,23.58
64,8,UIUC,8,UIUC-8,a,2.5,std,942,0.388,0.291,1397,1440,1,37.68,5.3,12.5
65,8,UIUC,8,UIUC-8,b,2.5,std,942,0.3911,0.2933,1408,1440,1,37.68,5.3,12.5
66,8,UIUC,8,UIUC-8,c,2.5,std,942,0.4004,0.3003,1441,1440,0,37.68,5.3,12.5
